"","occurrence","direction","gene_symbol"
"ATF7IP",2,"down","ATF7IP"
"MFN1",2,"up","MFN1"
"PRKAA2",2,"down","PRKAA2"
"RBM38",2,"up","RBM38"
"PBRM1",2,"up","PBRM1"
"ERRFI1",2,"up","ERRFI1"
"PHB",2,"up","PHB"
"PGR",2,"up","PGR"
"FIS1",2,"down","FIS1"
"MINK1",2,"up","MINK1"
"MSN",2,"down","MSN"
"MECP2",2,"down","MECP2"
"MCL1",2,"down","MCL1"
"MAGEA2",2,"down","MAGEA2"
"SMAD6",2,"down","SMAD6"
"SMAD5",2,"up","SMAD5"
"SMAD2",2,"down","SMAD2"
"SMAD1",2,"up","SMAD1"
"MIR34A",2,"up","MIR34A"
"MIR22",2,"up","MIR22"
"MIR146A",2,"down","MIR146A"
"RHOA",2,"down","RHOA"
"KRAS",2,"up","KRAS"
"KCNJ12",2,"down","KCNJ12"
"ITGB4",2,"up","ITGB4"
"IRF3",2,"up","IRF3"
"IDO1",2,"down","IDO1"
"IL4",2,"up","IL4"
"IFI16",2,"up","IFI16"
"HSPB1",2,"down","HSPB1"
"FOXA1",2,"up","FOXA1"
"ANXA5",2,"down","ANXA5"
"H3F3B",2,"down","H3F3B"
"SENP1",2,"down","SENP1"
"BRD7",2,"up","BRD7"
"GNAO1",2,"up","GNAO1"
"RPS6KA6",2,"up","RPS6KA6"
"B3GAT1",2,"up","B3GAT1"
"GJA1",2,"up","GJA1"
"ULK3",2,"up","ULK3"
"GAPDH",2,"down","GAPDH"
"ABI3BP",2,"up","ABI3BP"
"ASF1A",2,"up","ASF1A"
"G6PD",2,"down","G6PD"
"ACKR1",2,"up","ACKR1"
"CNOT6L",2,"down","CNOT6L"
"MORC3",2,"up","MORC3"
"SUZ12",2,"down","SUZ12"
"NPTXR",2,"up","NPTXR"
"PPP1R13B",2,"down","PPP1R13B"
"HEPACAM",2,"up","HEPACAM"
"ENG",2,"up","ENG"
"ABCA1",2,"up","ABCA1"
"DNMT3A",2,"down","DNMT3A"
"CSNK2A1",2,"down","CSNK2A1"
"E2F7",2,"up","E2F7"
"JDP2",2,"up","JDP2"
"CKB",2,"up","CKB"
"RASSF1",2,"up","RASSF1"
"BTG3",2,"down","BTG3"
"EHMT2",2,"down","EHMT2"
"NEK6",2,"down","NEK6"
"ZMYND11",2,"down","ZMYND11"
"AGR2",2,"down","AGR2"
"CEBPG",2,"down","CEBPG"
"HYOU1",2,"down","HYOU1"
"TADA3",2,"down","TADA3"
"MCRS1",2,"up","MCRS1"
"PSMD14",2,"down","PSMD14"
"NAMPT",2,"down","NAMPT"
"DNM1L",2,"down","DNM1L"
"ALDH2",2,"up","ALDH2"
"ALOX15B",2,"up","ALOX15B"
"ARG2",2,"up","ARG2"
"ATF6",2,"up","ATF6"
"BCL3",2,"down","BCL3"
"BCL6",2,"up","BCL6"
"BHLHE40",2,"up","BHLHE40"
"BMP4",2,"up","BMP4"
"BRD4",2,"down","BRD4"
"CDC25A",2,"down","CDC25A"
"CPT1C",2,"up","CPT1C"
"CYBB",2,"up","CYBB"
"DHCR24",2,"up","DHCR24"
"DICER1",2,"down","DICER1"
"DNMT3B",2,"down","DNMT3B"
"EGR2",2,"up","EGR2"
"ELAVL1",2,"down","ELAVL1"
"FGFR3",2,"up","FGFR3"
"FSCN1",2,"down","FSCN1"
"GATA4",2,"up","GATA4"
"GNG11",2,"down","GNG11"
"HDAC4",2,"down","HDAC4"
"IL1RN",2,"up","IL1RN"
"INCENP",2,"down","INCENP"
"IRF1",2,"up","IRF1"
"ITGB3",2,"up","ITGB3"
"ITPR1",2,"up","ITPR1"
"JUNB",2,"up","JUNB"
"KDR",2,"down","KDR"
"KEAP1",2,"up","KEAP1"
"KLF4",2,"down","KLF4"
"LAMP2",2,"down","LAMP2"
"LIMA1",2,"down","LIMA1"
"LIMK1",2,"up","LIMK1"
"LIN9",2,"down","LIN9"
"LPAR1",2,"down","LPAR1"
"MAP2K2",2,"up","MAP2K2"
"MAP3K14",2,"down","MAP3K14"
"MAP3K6",2,"up","MAP3K6"
"MAP4K1",2,"down","MAP4K1"
"MAPK12",2,"up","MAPK12"
"MARCKS",2,"down","MARCKS"
"MDC1",2,"down","MDC1"
"MVK",2,"up","MVK"
"MVP",2,"up","MVP"
"NANOG",2,"down","NANOG"
"NOX1",2,"up","NOX1"
"NQO1",2,"down","NQO1"
"OGG1",2,"down","OGG1"
"POU5F1",2,"down","POU5F1"
"PRKN",2,"up","PRKN"
"PRMT1",2,"down","PRMT1"
"PRODH",2,"up","PRODH"
"RASSF5",2,"up","RASSF5"
"RNASEL",2,"up","RNASEL"
"RPS6KB1",2,"up","RPS6KB1"
"RUNX1",2,"up","RUNX1"
"RUVBL2",2,"down","RUVBL2"
"SDC1",2,"up","SDC1"
"SENP7",2,"down","SENP7"
"SIN3B",2,"up","SIN3B"
"SIRT2",2,"down","SIRT2"
"SIX1",2,"down","SIX1"
"SMARCD1",2,"down","SMARCD1"
"SOCS1",2,"up","SOCS1"
"SOX2",2,"down","SOX2"
"SRC",2,"down","SRC"
"SUMO2",2,"up","SUMO2"
"SUV39H1",2,"down","SUV39H1"
"SYT7",2,"down","SYT7"
"TGFBI",2,"up","TGFBI"
"TGFBR1",2,"up","TGFBR1"
"THRB",2,"up","THRB"
"TLR2",2,"up","TLR2"
"TLR4",2,"up","TLR4"
"TNFSF15",2,"up","TNFSF15"
"TRDMT1",2,"down","TRDMT1"
"TRPM8",2,"up","TRPM8"
"TWIST2",2,"down","TWIST2"
"USP28",2,"down","USP28"
"VCAN",2,"up","VCAN"
"YAP1",2,"down","YAP1"
"ZEB1",2,"down","ZEB1"
"CSF3",2,"up","CSF3"
"CXCL11",2,"up","CXCL11"
"INHBA",2,"up","INHBA"
"SRPX",1,NA,"SRPX"
"TNFSF13B",1,NA,"TNFSF13B"
"ELMOD1",1,NA,"ELMOD1"
"SLCO2B1",1,NA,"SLCO2B1"
"WDR78",1,NA,"WDR78"
"SLC16A14",1,NA,"SLC16A14"
"JCAD",1,NA,"JCAD"
"SMCO3",1,NA,"SMCO3"
"BMS1P9",1,NA,"BMS1P9"
"MT-TA",1,NA,"MT-TA"
"MT-TN",1,NA,"MT-TN"
"MT-TC",1,NA,"MT-TC"
"MT-TY",1,NA,"MT-TY"
"MAP4K3-DT",1,NA,"MAP4K3-DT"
"AC002480.1",1,NA,"AC002480.1"
"LINC02154",1,NA,"LINC02154"
"TM4SF1-AS1",1,NA,"TM4SF1-AS1"
"H2AFJ",1,NA,"H2AFJ"
"PURPL",1,NA,"PURPL"
"HIST1H1D",1,NA,"HIST1H1D"
"CDC7L",1,NA,"CDC7L"
"HIST1H1E",1,NA,"HIST1H1E"
"HIST2H2AB",1,NA,"HIST2H2AB"
"ITPRIPL1",1,NA,"ITPRIPL1"
"AC074135.1",1,NA,"AC074135.1"
"LIF",1,NA,"LIF"
"IL6R",1,NA,"IL6R"
"SLC1A1",1,"up","SLC1A1"
"GABARAPL1",1,"up","GABARAPL1"
"YPEL5",1,"up","YPEL5"
"MXRA7",1,"up","MXRA7"
"PSG7",1,"up","PSG7"
"PCYOX1",1,"up","PCYOX1"
"HIST1H1C",1,"up","HIST1H1C"
"PAMR1",1,"up","PAMR1"
"ANTXR1",1,"up","ANTXR1"
"DYNLT3",1,"up","DYNLT3"
"DNAJB4",1,"up","DNAJB4"
"PSG4",1,"up","PSG4"
"TMEM217",1,"up","TMEM217"
"CERCAM",1,"up","CERCAM"
"OSTM1",1,"up","OSTM1"
"GAS6",1,"up","GAS6"
"PLA2G4C",1,"up","PLA2G4C"
"ATP6V0E1",1,"up","ATP6V0E1"
"STC2",1,"up","STC2"
"SGIP1",1,"up","SGIP1"
"PERP",1,"up","PERP"
"SERINC1",1,"up","SERINC1"
"PLXNA3",1,"up","PLXNA3"
"USP53",1,"up","USP53"
"LUM",1,"up","LUM"
"FN1",1,"up","FN1"
"PSG5",1,"up","PSG5"
"CTSF",1,"up","CTSF"
"ATP6AP1",1,"up","ATP6AP1"
"CYB5R1",1,"up","CYB5R1"
"INA",1,"up","INA"
"PCDH10",1,"up","PCDH10"
"PSG6",1,"up","PSG6"
"LRRN3",1,"up","LRRN3"
"PGM2L1",1,"up","PGM2L1"
"ATP6AP2",1,"up","ATP6AP2"
"GPR137B",1,"up","GPR137B"
"ZNFX1",1,"up","ZNFX1"
"TMEM45A",1,"up","TMEM45A"
"CYFIP2",1,"up","CYFIP2"
"ACYP2",1,"up","ACYP2"
"ITM2B",1,"up","ITM2B"
"NEXN",1,"up","NEXN"
"C1orf198",1,"up","C1orf198"
"SUGCT",1,"up","SUGCT"
"PSG2",1,"up","PSG2"
"FNDC4",1,"up","FNDC4"
"RAB6B",1,"up","RAB6B"
"DNAJB9",1,"up","DNAJB9"
"L1CAM",1,"up","L1CAM"
"GLS",1,"up","GLS"
"BRI3",1,"up","BRI3"
"STX12",1,"up","STX12"
"DDX58",1,"up","DDX58"
"DAGLB",1,"up","DAGLB"
"COX7A1",1,"up","COX7A1"
"TMTC1",1,"up","TMTC1"
"TMEM47",1,"up","TMEM47"
"CALD1",1,"up","CALD1"
"SMPD1",1,"up","SMPD1"
"MFSD1",1,"up","MFSD1"
"BSDC1",1,"up","BSDC1"
"PLCB4",1,"up","PLCB4"
"PLA2G15",1,"up","PLA2G15"
"PIK3R3",1,"up","PIK3R3"
"F3",1,"up","F3"
"MAP1LC3B",1,"up","MAP1LC3B"
"PRSS23",1,"up","PRSS23"
"ATP6V1G1",1,"up","ATP6V1G1"
"PLOD2",1,"up","PLOD2"
"ATP6V1A",1,"up","ATP6V1A"
"CD163L1",1,"up","CD163L1"
"MAST3",1,"up","MAST3"
"FZD8",1,"up","FZD8"
"TMEM178B",1,"up","TMEM178B"
"ARHGAP29",1,"up","ARHGAP29"
"KCTD16",1,"up","KCTD16"
"NPDC1",1,"up","NPDC1"
"CYB5D2",1,"up","CYB5D2"
"MFSD11",1,"up","MFSD11"
"CALCOCO1",1,"up","CALCOCO1"
"TMEM127",1,"up","TMEM127"
"NRBP2",1,"up","NRBP2"
"SERPINI1",1,"up","SERPINI1"
"AK3",1,"up","AK3"
"IFIT2",1,"up","IFIT2"
"FUCA1",1,"up","FUCA1"
"ISCU",1,"up","ISCU"
"COBLL1",1,"up","COBLL1"
"FAT1",1,"up","FAT1"
"EPHA4",1,"up","EPHA4"
"CREBRF",1,"up","CREBRF"
"JMY",1,"up","JMY"
"FAXDC2",1,"up","FAXDC2"
"CD36",1,"up","CD36"
"PLXDC2",1,"up","PLXDC2"
"GNPTG",1,"up","GNPTG"
"FAM214B",1,"up","FAM214B"
"WFS1",1,"up","WFS1"
"SORT1",1,"up","SORT1"
"KIAA1191",1,"up","KIAA1191"
"P3H2",1,"up","P3H2"
"TM7SF3",1,"up","TM7SF3"
"MARCH2",1,"up","MARCH2"
"CRYL1",1,"up","CRYL1"
"MFGE8",1,"up","MFGE8"
"KIF3C",1,"up","KIF3C"
"KCNJ2",1,"up","KCNJ2"
"IDS",1,"up","IDS"
"HEXB",1,"up","HEXB"
"HAGH",1,"up","HAGH"
"SLC46A3",1,"up","SLC46A3"
"KCNMB4",1,"up","KCNMB4"
"SESN1",1,"up","SESN1"
"MAMDC2",1,"up","MAMDC2"
"DDAH1",1,"up","DDAH1"
"SVIL",1,"up","SVIL"
"TMEM131",1,"up","TMEM131"
"PSG9",1,"up","PSG9"
"DNASE1L1",1,"up","DNASE1L1"
"SAMD9",1,"up","SAMD9"
"DAB2",1,"up","DAB2"
"COL8A1",1,"up","COL8A1"
"CYP2U1",1,"up","CYP2U1"
"MLLT11",1,"up","MLLT11"
"TGOLN2",1,"up","TGOLN2"
"TOB1",1,"up","TOB1"
"DHRS3",1,"up","DHRS3"
"ADAM23",1,"up","ADAM23"
"ITFG1",1,"up","ITFG1"
"SLC35F5",1,"up","SLC35F5"
"TIMP3",1,"up","TIMP3"
"SLC20A2",1,"up","SLC20A2"
"SELENOW",1,"up","SELENOW"
"PTPRK",1,"up","PTPRK"
"NIPAL3",1,"up","NIPAL3"
"PRPS1",1,"up","PRPS1"
"TMEM106B",1,"up","TMEM106B"
"PDK2",1,"up","PDK2"
"ARMCX3",1,"up","ARMCX3"
"ADIPOR1",1,"up","ADIPOR1"
"RAB11FIP5",1,"up","RAB11FIP5"
"MPC2",1,"up","MPC2"
"MAN2B2",1,"up","MAN2B2"
"MAPRE3",1,"up","MAPRE3"
"TPRG1L",1,"up","TPRG1L"
"FRMD6",1,"up","FRMD6"
"GINM1",1,"up","GINM1"
"GALNT5",1,"up","GALNT5"
"POSTN",1,"down","POSTN"
"PGRMC2",1,"up","PGRMC2"
"P2RX5",1,"up","P2RX5"
"PIGZ",1,"up","PIGZ"
"STYK1",1,"up","STYK1"
"CASTOR3",1,"up","CASTOR3"
"FTH1",1,"up","FTH1"
"TANGO2",1,"up","TANGO2"
"CD81",1,"up","CD81"
"STC1",1,"up","STC1"
"BPGM",1,"up","BPGM"
"ANKRD1",1,"up","ANKRD1"
"LMOD1",1,"up","LMOD1"
"CNN1",1,"up","CNN1"
"SERINC3",1,"up","SERINC3"
"SYNGR1",1,"up","SYNGR1"
"NABP1",1,"up","NABP1"
"SGSH",1,"up","SGSH"
"PCDHB16",1,"up","PCDHB16"
"ZNF610",1,"up","ZNF610"
"ZNF582",1,"up","ZNF582"
"LACC1",1,"up","LACC1"
"TNFSF10",1,"up","TNFSF10"
"DCBLD1",1,"up","DCBLD1"
"NAP1L5",1,"up","NAP1L5"
"SLC43A2",1,"up","SLC43A2"
"ATG4A",1,"up","ATG4A"
"NBEAL1",1,"up","NBEAL1"
"PLPP4",1,"up","PLPP4"
"CCNG1",1,"up","CCNG1"
"CYSTM1",1,"up","CYSTM1"
"TM2D1",1,"up","TM2D1"
"COQ10B",1,"up","COQ10B"
"VAMP2",1,"up","VAMP2"
"MARCH4",1,"up","MARCH4"
"TBC1D19",1,"up","TBC1D19"
"HERC6",1,"up","HERC6"
"RETSAT",1,"up","RETSAT"
"ARL15",1,"up","ARL15"
"LRPAP1",1,"up","LRPAP1"
"ARHGEF37",1,"up","ARHGEF37"
"C5orf46",1,"up","C5orf46"
"INPP5D",1,"up","INPP5D"
"IFIT1",1,"up","IFIT1"
"GRINA",1,"up","GRINA"
"VPS41",1,"up","VPS41"
"OPN3",1,"up","OPN3"
"PRICKLE2",1,"up","PRICKLE2"
"ANKRD29",1,"up","ANKRD29"
"MAN1B1",1,"up","MAN1B1"
"PRAF2",1,"up","PRAF2"
"PNRC1",1,"up","PNRC1"
"NPC2",1,"up","NPC2"
"DPYSL4",1,"up","DPYSL4"
"CPQ",1,"up","CPQ"
"FRY",1,"up","FRY"
"PREPL",1,"up","PREPL"
"ORMDL3",1,"up","ORMDL3"
"PGAP3",1,"up","PGAP3"
"PSTPIP2",1,"up","PSTPIP2"
"RIOK3",1,"up","RIOK3"
"ADAM19",1,"up","ADAM19"
"FBXL20",1,"up","FBXL20"
"OGFRL1",1,"up","OGFRL1"
"DDA1",1,"up","DDA1"
"VKORC1",1,"up","VKORC1"
"THBS1",1,"up","THBS1"
"ABHD4",1,"up","ABHD4"
"PLEKHA1",1,"up","PLEKHA1"
"RARRES3",1,"up","RARRES3"
"PTPRM",1,"up","PTPRM"
"RHBDD2",1,"up","RHBDD2"
"PRRG1",1,"up","PRRG1"
"EDEM2",1,"up","EDEM2"
"HHAT",1,"up","HHAT"
"POMGNT1",1,"up","POMGNT1"
"DRAM1",1,"up","DRAM1"
"RIN2",1,"up","RIN2"
"ZFYVE1",1,"up","ZFYVE1"
"TRPV2",1,"up","TRPV2"
"FAM198B",1,"up","FAM198B"
"KCNN2",1,"up","KCNN2"
"SP110",1,"up","SP110"
"IFI27",1,"up","IFI27"
"AOX1",1,"up","AOX1"
"GPER1",1,"up","GPER1"
"GPC1",1,"up","GPC1"
"TANC1",1,"up","TANC1"
"TNFRSF21",1,"up","TNFRSF21"
"KRTAP1-5",1,"up","KRTAP1-5"
"ZBTB20",1,"up","ZBTB20"
"AHCYL2",1,"up","AHCYL2"
"TVP23B",1,"up","TVP23B"
"KIAA0930",1,"up","KIAA0930"
"LIMCH1",1,"up","LIMCH1"
"PCNX1",1,"up","PCNX1"
"ELL2",1,"up","ELL2"
"FHL1",1,"up","FHL1"
"CLN8",1,"up","CLN8"
"GLB1",1,"up","GLB1"
"BMT2",1,"up","BMT2"
"GABARAP",1,"up","GABARAP"
"CAP2",1,"up","CAP2"
"MRVI1",1,"up","MRVI1"
"HDAC9",1,"up","HDAC9"
"IPO13",1,"up","IPO13"
"ATP6V0D1",1,"up","ATP6V0D1"
"WDR26",1,"up","WDR26"
"REEP5",1,"up","REEP5"
"ZFAND5",1,"up","ZFAND5"
"UBE2H",1,"up","UBE2H"
"TAPBP",1,"up","TAPBP"
"NXPE3",1,"up","NXPE3"
"PIP4K2C",1,"up","PIP4K2C"
"RRAS",1,"up","RRAS"
"TAF13",1,"up","TAF13"
"SQOR",1,"up","SQOR"
"PLSCR4",1,"up","PLSCR4"
"PCDHB8",1,"up","PCDHB8"
"ZBTB4",1,"up","ZBTB4"
"ANO10",1,"up","ANO10"
"SEMA6A",1,"up","SEMA6A"
"SLFN12",1,"up","SLFN12"
"HEG1",1,"up","HEG1"
"CCDC9B",1,"up","CCDC9B"
"SLC44A2",1,"up","SLC44A2"
"NCKAP5",1,"up","NCKAP5"
"MASP1",1,"up","MASP1"
"LRP12",1,"up","LRP12"
"LPCAT2",1,"up","LPCAT2"
"GDE1",1,"up","GDE1"
"STS",1,"up","STS"
"ARF4",1,"up","ARF4"
"ITGB5",1,"up","ITGB5"
"ITGAV",1,"up","ITGAV"
"SERINC2",1,"up","SERINC2"
"ANXA4",1,"up","ANXA4"
"GOLGB1",1,"up","GOLGB1"
"GFPT1",1,"up","GFPT1"
"TCTN3",1,"up","TCTN3"
"RAI14",1,"up","RAI14"
"MRAS",1,"up","MRAS"
"DHRS1",1,"up","DHRS1"
"GLMP",1,"up","GLMP"
"DUSP10",1,"up","DUSP10"
"TMBIM1",1,"up","TMBIM1"
"LAMB2",1,"up","LAMB2"
"MCFD2",1,"up","MCFD2"
"P4HA2",1,"up","P4HA2"
"MGARP",1,"up","MGARP"
"DYNLRB2",1,"up","DYNLRB2"
"PDCD1LG2",1,"up","PDCD1LG2"
"ATP10D",1,"up","ATP10D"
"MCOLN1",1,"up","MCOLN1"
"EMC7",1,"up","EMC7"
"CPPED1",1,"up","CPPED1"
"CTSA",1,"up","CTSA"
"MANSC1",1,"up","MANSC1"
"ETV7",1,"up","ETV7"
"C11orf96",1,"up","C11orf96"
"IFIT3",1,"up","IFIT3"
"HLA-B",1,"up","HLA-B"
"WDR47",1,"up","WDR47"
"RBM24",1,"up","RBM24"
"DGKA",1,"up","DGKA"
"C19orf18",1,"up","C19orf18"
"SELENOM",1,"up","SELENOM"
"FAM43A",1,"up","FAM43A"
"CDH10",1,"up","CDH10"
"SNPH",1,"up","SNPH"
"SH3PXD2A",1,"up","SH3PXD2A"
"CAVIN4",1,"up","CAVIN4"
"DNER",1,"up","DNER"
"FANK1",1,"up","FANK1"
"LMBRD2",1,"up","LMBRD2"
"CAV2",1,"up","CAV2"
"C15orf48",1,"up","C15orf48"
"TMEM35A",1,"up","TMEM35A"
"RHOU",1,"up","RHOU"
"PCDHB2",1,"up","PCDHB2"
"LIPA",1,"up","LIPA"
"SLC25A45",1,"up","SLC25A45"
"RNF11",1,"up","RNF11"
"FAM219A",1,"up","FAM219A"
"LINGO2",1,"up","LINGO2"
"AHNAK2",1,"up","AHNAK2"
"SYNGR2",1,"up","SYNGR2"
"APH1B",1,"up","APH1B"
"ARMC9",1,"up","ARMC9"
"SCG2",1,"up","SCG2"
"RNF103",1,"up","RNF103"
"BTC",1,"up","BTC"
"SIL1",1,"up","SIL1"
"IFIH1",1,"up","IFIH1"
"PHTF2",1,"up","PHTF2"
"BAIAP2L1",1,"up","BAIAP2L1"
"CNNM2",1,"up","CNNM2"
"ARHGEF3",1,"up","ARHGEF3"
"ATP6V0A4",1,"up","ATP6V0A4"
"IGIP",1,"up","IGIP"
"NAP1L3",1,"up","NAP1L3"
"TSPAN11",1,"up","TSPAN11"
"MEST",1,"up","MEST"
"SAMD12",1,"up","SAMD12"
"SHC4",1,"up","SHC4"
"KCTD4",1,"up","KCTD4"
"TUBG2",1,"up","TUBG2"
"FBXO6",1,"up","FBXO6"
"SIPA1L1",1,"up","SIPA1L1"
"LRRC6",1,"up","LRRC6"
"SULF1",1,"up","SULF1"
"RIMS1",1,"up","RIMS1"
"SCUBE3",1,"up","SCUBE3"
"OTUD1",1,"up","OTUD1"
"ITPRIPL2",1,"up","ITPRIPL2"
"IFITM3",1,"up","IFITM3"
"EDIL3",1,"up","EDIL3"
"MRPL1",1,"down","MRPL1"
"CDCA7",1,"down","CDCA7"
"ATAD2",1,"down","ATAD2"
"PCLAF",1,"down","PCLAF"
"ZNF22",1,"down","ZNF22"
"SLIT2",1,"down","SLIT2"
"SAPCD2",1,"down","SAPCD2"
"ZWILCH",1,"down","ZWILCH"
"ACTL6A",1,"down","ACTL6A"
"RANBP1",1,"down","RANBP1"
"HYLS1",1,"down","HYLS1"
"TSEN15",1,"down","TSEN15"
"DDX39A",1,"down","DDX39A"
"FKBP5",1,"down","FKBP5"
"CCNF",1,"down","CCNF"
"SNRPF",1,"down","SNRPF"
"SNRPD1",1,"down","SNRPD1"
"SFPQ",1,"down","SFPQ"
"NUP107",1,"down","NUP107"
"TPRKB",1,"down","TPRKB"
"NASP",1,"down","NASP"
"MCM6",1,"down","MCM6"
"MCM4",1,"down","MCM4"
"CTCF",1,"down","CTCF"
"FIGNL1",1,"down","FIGNL1"
"WDR76",1,"down","WDR76"
"ASF1B",1,"down","ASF1B"
"PRIM1",1,"down","PRIM1"
"PFAS",1,"down","PFAS"
"RNF138",1,"down","RNF138"
"NUP205",1,"down","NUP205"
"EXOSC8",1,"down","EXOSC8"
"PRPF4",1,"down","PRPF4"
"SMC3",1,"down","SMC3"
"WDR34",1,"down","WDR34"
"ANP32E",1,"down","ANP32E"
"NARS2",1,"down","NARS2"
"NUP37",1,"down","NUP37"
"GINS3",1,"down","GINS3"
"DERA",1,"down","DERA"
"ODC1",1,"down","ODC1"
"NOP58",1,"down","NOP58"
"TCF19",1,"down","TCF19"
"PXMP2",1,"down","PXMP2"
"POLE2",1,"down","POLE2"
"PCOLCE",1,"down","PCOLCE"
"MCM5",1,"down","MCM5"
"IMPDH2",1,"down","IMPDH2"
"HNRNPA2B1",1,"down","HNRNPA2B1"
"AEBP1",1,"down","AEBP1"
"FST",1,"down","FST"
"NUP85",1,"down","NUP85"
"CDC25B",1,"down","CDC25B"
"PPP1CC",1,"down","PPP1CC"
"DUT",1,"down","DUT"
"E2F8",1,"down","E2F8"
"MALL",1,"down","MALL"
"ZNF711",1,"down","ZNF711"
"RBMX",1,"down","RBMX"
"MNS1",1,"down","MNS1"
"FANCG",1,"down","FANCG"
"FAM72D",1,"down","FAM72D"
"PRMT3",1,"down","PRMT3"
"ZNF662",1,"down","ZNF662"
"SRSF7",1,"down","SRSF7"
"TNFRSF19",1,"down","TNFRSF19"
"BRIX1",1,"down","BRIX1"
"TMEM119",1,"down","TMEM119"
"PHF19",1,"down","PHF19"
"FUS",1,"down","FUS"
"ZNF367",1,"down","ZNF367"
"DHFR",1,"down","DHFR"
"MRPL3",1,"down","MRPL3"
"CMSS1",1,"down","CMSS1"
"TEX30",1,"down","TEX30"
"DDX18",1,"down","DDX18"
"SEH1L",1,"down","SEH1L"
"FAM111A",1,"down","FAM111A"
"RPA3",1,"down","RPA3"
"TMA16",1,"down","TMA16"
"WDYHV1",1,"down","WDYHV1"
"ASNS",1,"down","ASNS"
"H1F0",1,"down","H1F0"
"DCPS",1,"down","DCPS"
"SAAL1",1,"down","SAAL1"
"SHMT2",1,"down","SHMT2"
"SERPINF1",1,"down","SERPINF1"
"ERI1",1,"down","ERI1"
"BANF1",1,"down","BANF1"
"SNRPA",1,"down","SNRPA"
"PRIM2",1,"down","PRIM2"
"NUP54",1,"down","NUP54"
"MSH2",1,"down","MSH2"
"AMPH",1,"down","AMPH"
"SMCHD1",1,"down","SMCHD1"
"TOMM40",1,"down","TOMM40"
"KNTC1",1,"down","KNTC1"
"SLFN11",1,"down","SLFN11"
"CCDC8",1,"down","CCDC8"
"EIF4A3",1,"down","EIF4A3"
"MZT1",1,"down","MZT1"
"POLD2",1,"down","POLD2"
"MRE11",1,"down","MRE11"
"MAT2A",1,"down","MAT2A"
"ILF2",1,"down","ILF2"
"HPRT1",1,"down","HPRT1"
"CBX3",1,"down","CBX3"
"NUDT21",1,"down","NUDT21"
"TCERG1",1,"down","TCERG1"
"C19orf48",1,"down","C19orf48"
"EMILIN2",1,"down","EMILIN2"
"CDT1",1,"down","CDT1"
"VRK1",1,"down","VRK1"
"SOX11",1,"down","SOX11"
"SNRPE",1,"down","SNRPE"
"LSM2",1,"down","LSM2"
"PRPS2",1,"down","PRPS2"
"TIPIN",1,"down","TIPIN"
"EXOSC9",1,"down","EXOSC9"
"HMGN2",1,"down","HMGN2"
"SGO2",1,"down","SGO2"
"GINS1",1,"down","GINS1"
"PTER",1,"down","PTER"
"SLC5A6",1,"down","SLC5A6"
"NUDCD1",1,"down","NUDCD1"
"FAM213A",1,"down","FAM213A"
"TFAM",1,"down","TFAM"
"TAF5",1,"down","TAF5"
"CENPJ",1,"down","CENPJ"
"MIS18BP1",1,"down","MIS18BP1"
"SAFB",1,"down","SAFB"
"MGMT",1,"down","MGMT"
"C8orf59",1,"down","C8orf59"
"FAM111B",1,"down","FAM111B"
"SKA2",1,"down","SKA2"
"LSM5",1,"down","LSM5"
"ETV4",1,"down","ETV4"
"TUBB",1,"down","TUBB"
"HAUS1",1,"down","HAUS1"
"LSM6",1,"down","LSM6"
"KHSRP",1,"down","KHSRP"
"CEP70",1,"down","CEP70"
"MYO19",1,"down","MYO19"
"ZFHX4",1,"down","ZFHX4"
"SUV39H2",1,"down","SUV39H2"
"MARCKSL1",1,"down","MARCKSL1"
"RFC2",1,"down","RFC2"
"RIF1",1,"down","RIF1"
"CENPQ",1,"down","CENPQ"
"LY6K",1,"down","LY6K"
"POLE",1,"down","POLE"
"PRRX1",1,"down","PRRX1"
"MRPL48",1,"down","MRPL48"
"PKDCC",1,"down","PKDCC"
"PRR16",1,"down","PRR16"
"PA2G4",1,"down","PA2G4"
"PAGR1",1,"down","PAGR1"
"PSMC3IP",1,"down","PSMC3IP"
"IL11",1,"down","IL11"
"HNRNPF",1,"down","HNRNPF"
"TUSC1",1,"down","TUSC1"
"EML4",1,"down","EML4"
"ALKBH2",1,"down","ALKBH2"
"LSM3",1,"down","LSM3"
"DBI",1,"down","DBI"
"ADSL",1,"down","ADSL"
"CSE1L",1,"down","CSE1L"
"SUPT16H",1,"down","SUPT16H"
"EFS",1,"down","EFS"
"CHAF1A",1,"down","CHAF1A"
"PUM3",1,"down","PUM3"
"LRRC8C",1,"down","LRRC8C"
"UMPS",1,"down","UMPS"
"MRPS15",1,"down","MRPS15"
"ZDHHC6",1,"down","ZDHHC6"
"BCS1L",1,"down","BCS1L"
"CMC2",1,"down","CMC2"
"NSMCE4A",1,"down","NSMCE4A"
"MIOS",1,"down","MIOS"
"HSPB11",1,"down","HSPB11"
"DPH5",1,"down","DPH5"
"GLUL",1,"down","GLUL"
"COQ2",1,"down","COQ2"
"DAZAP1",1,"down","DAZAP1"
"CDC42EP4",1,"down","CDC42EP4"
"FOPNL",1,"down","FOPNL"
"NRM",1,"down","NRM"
"CTSC",1,"down","CTSC"
"KHDRBS1",1,"down","KHDRBS1"
"UBA2",1,"down","UBA2"
"MED30",1,"down","MED30"
"RAD54L",1,"down","RAD54L"
